Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0146342489	-58.5314788	-58.5314788	-58.5314788	-58.5314788	0	0	0	0	0	0	3
2	5	0	0.0292684978	-58.5576506	-58.5445647	-58.5576506	-58.5314788	0.0130859272	0	0	0	0	0	3
3	7	0	0.0439027466	-58.5572599	-58.5487964	-58.5576506	-58.5314788	0.0173176499	0	0	0	0	0	3
4	9	0	0.0585369955	-58.5577407	-58.5510325	-58.5577407	-58.5314788	0.0195537269	0	0	0	0	0	3
5	10	0	0.0731712444	-58.5578347	-58.5523929	-58.5578347	-58.5314788	0.0209141654	0	0	0	0	0	3
6	12	0	0.0878054933	-58.5578444	-58.5533015	-58.5578444	-58.5314788	0.0218227426	0	0	0	0	0	3
7	14	0	0.102439742	-58.5579011	-58.5539586	-58.5579011	-58.5314788	0.0224798244	0	0	0	0	0	3
8	15	0	0.117073991	-58.5576613	-58.5544214	-58.5579011	-58.5314788	0.0229426594	0	0	0	0	0	3
9	17	0	0.13170824	-58.5574489	-58.5547578	-58.5579011	-58.5314788	0.0232790481	0	0	0	0	0	3
10	19	0	0.146342489	-58.5575021	-58.5550322	-58.5579011	-58.5314788	0.0235534737	0	0	0	0	0	3
11	20	0	0.160976738	-58.5573929	-58.5552469	-58.5579011	-58.5314788	0.0237680796	0	0	0	0	0	3
12	22	0	0.175610987	-58.5560779	-58.5553161	-58.5579011	-58.5314788	0.023837336	0	0	0	0	0	3
13	24	0	0.190245235	-58.5569873	-58.5554447	-58.5579011	-58.5314788	0.02396589	0	0	0	0	0	3
14	25	0	0.204879484	-58.5560727	-58.5554895	-58.5579011	-58.5314788	0.0240107526	0	0	0	0	0	3
15	27	0	0.219513733	-58.5582181	-58.5556714	-58.5582181	-58.5314788	0.0241926604	0	0	0	0	0	3
16	30	0	0.234147982	-58.5603042	-58.555961	-58.5603042	-58.5314788	0.02448221	0	0	0	0	0	3
17	32	0	0.248782231	-58.5563957	-58.5559866	-58.5603042	-58.5314788	0.0245077804	0	0	0	0	0	3
18	34	0	0.26341648	-58.558611	-58.5561324	-58.5603042	-58.5314788	0.0246535811	0	0	0	0	0	3
19	35	0	0.278050729	-58.5580006	-58.5562307	-58.5603042	-58.5314788	0.0247519079	0	0	0	0	0	3
20	37	0	0.292684978	-58.5557747	-58.5562079	-58.5603042	-58.5314788	0.0247519079	0	0	0	0	0	3
21	38	0	0.307319226	-58.5586273	-58.5563231	-58.5603042	-58.5314788	0.0248443184	0	0	0	0	0	3
22	40	0	0.321953475	-58.56174	-58.5565693	-58.56174	-58.5314788	0.0250905405	0	0	0	0	0	3
23	42	0	0.336587724	-58.5611946	-58.5567704	-58.56174	-58.5314788	0.0252916386	0	0	0	0	0	3
24	43	0	0.351221973	-58.5628956	-58.5570256	-58.5628956	-58.5314788	0.0255468548	0	0	0	0	0	3
25	45	0	0.365856222	-58.5599015	-58.5571407	-58.5628956	-58.5314788	0.0256618897	0	0	0	0	0	3
26	46	0	0.380490471	-58.5616551	-58.5573143	-58.5628956	-58.5314788	0.0258355237	0	0	0	0	0	3
27	48	0	0.39512472	-58.5666141	-58.5576587	-58.5666141	-58.5314788	0.0261799619	0	0	0	0	0	3
28	50	0	0.409758969	-58.5648406	-58.5579152	-58.5666141	-58.5314788	0.0264364572	0	0	0	0	0	3
29	51	0	0.424393218	-58.5631804	-58.5580968	-58.5666141	-58.5314788	0.0266180136	0	0	0	0	0	3
30	53	0	0.439027466	-58.5641581	-58.5582988	-58.5666141	-58.5314788	0.0268200561	0	0	0	0	0	3
31	54	0	0.453661715	-58.5634947	-58.5584664	-58.5666141	-58.5314788	0.0269876639	0	0	0	0	0	3
32	56	0	0.468295964	-58.5637161	-58.5586305	-58.5666141	-58.5314788	0.0271517172	0	0	0	0	0	3
33	58	0	0.482930213	-58.5728174	-58.5590604	-58.5728174	-58.5314788	0.0275816221	0	0	0	0	0	3
34	59	0	0.497564462	-58.5675628	-58.5593105	-58.5728174	-58.5314788	0.0278316917	0	0	0	0	0	3
35	61	0	0.512198711	-58.5769742	-58.5598151	-58.5769742	-58.5314788	0.0283363711	0	0	0	0	0	3
36	62	0	0.52683296	-58.5664172	-58.5608134	-58.5769742	-58.5557747	0.0162486847	0	0	0	0	0	3
37	64	0	0.541467209	-58.5696259	-58.5611555	-58.5769742	-58.5557747	0.0123591138	0	0	0	0	0	3
38	65	0	0.556101457	-58.5658183	-58.5614001	-58.5769742	-58.5557747	0.0103675627	0	0	0	0	0	3
39	67	0	0.570735706	-58.5664829	-58.5616498	-58.5769742	-58.5557747	0.00925690129	0	0	0	0	0	3
40	69	0	0.585369955	-58.5580564	-58.5616562	-58.5769742	-58.5557747	0.00835465788	0	0	0	0	0	3
41	71	0	0.600004204	-58.5653298	-58.56187	-58.5769742	-58.5557747	0.00791144453	0	0	0	0	0	3
42	72	0	0.614638453	-58.5538219	-58.5617535	-58.5769742	-58.5538219	0.00744860952	0	0	0	0	0	3
43	74	0	0.629272702	-58.564396	-58.5619459	-58.5769742	-58.5538219	0.00718809342	0	0	0	0	0	3
44	78	0	0.643906951	-58.5515771	-58.5617781	-58.5769742	-58.5515771	0.00691366787	0	0	0	0	0	3
45	81	0	0.6585412	-58.5673551	-58.5620597	-58.5769742	-58.5515771	0.00681280788	0	0	0	0	0	3
