Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0146342489	0	0	0	0	0	0	0	0	0	0	3
2	5	0	0.0292684978	0	0	0	0	0	0	0	0	0	0	3
3	7	0	0.0439027466	0	0	0	0	0	0	0	0	0	0	3
4	9	0	0.0585369955	0	0	0	0	0	0	0	0	0	0	3
5	10	0	0.0731712444	0	0	0	0	0	0	0	0	0	0	3
6	12	0	0.0878054933	0	0	0	0	0	0	0	0	0	0	3
7	14	0	0.102439742	0	0	0	0	0	0	0	0	0	0	3
8	15	0	0.117073991	0	0	0	0	0	0	0	0	0	0	3
9	17	0	0.13170824	0	0	0	0	0	0	0	0	0	0	3
10	19	0	0.146342489	0	0	0	0	0	0	0	0	0	0	3
11	20	0	0.160976738	0	0	0	0	0	0	0	0	0	0	3
12	22	0	0.175610987	0	0	0	0	0	0	0	0	0	0	3
13	24	0	0.190245235	0	0	0	0	0	0	0	0	0	0	3
14	25	0	0.204879484	0	0	0	0	0	0	0	0	0	0	3
15	27	0	0.219513733	0	0	0	0	0	0	0	0	0	0	3
16	30	0	0.234147982	0	0	0	0	0	0	0	0	0	0	3
17	32	0	0.248782231	0	0	0	0	0	0	0	0	0	0	3
18	34	0	0.26341648	0	0	0	0	0	0	0	0	0	0	3
19	35	0	0.278050729	0	0	0	0	0	0	0	0	0	0	3
20	37	0	0.292684978	0	0	0	0	0	0	0	0	0	0	3
21	38	0	0.307319226	0	0	0	0	0	0	0	0	0	0	3
22	40	0	0.321953475	0	0	0	0	0	0	0	0	0	0	3
23	42	0	0.336587724	0	0	0	0	0	0	0	0	0	0	3
24	43	0	0.351221973	0	0	0	0	0	0	0	0	0	0	3
25	45	0	0.365856222	0	0	0	0	0	0	0	0	0	0	3
26	46	0	0.380490471	0	0	0	0	0	0	0	0	0	0	3
27	48	0	0.39512472	0	0	0	0	0	0	0	0	0	0	3
28	50	0	0.409758969	0	0	0	0	0	0	0	0	0	0	3
29	51	0	0.424393218	0	0	0	0	0	0	0	0	0	0	3
30	53	0	0.439027466	0	0	0	0	0	0	0	0	0	0	3
31	54	0	0.453661715	0	0	0	0	0	0	0	0	0	0	3
32	56	0	0.468295964	0	0	0	0	0	0	0	0	0	0	3
33	58	0	0.482930213	0	0	0	0	0	0	0	0	0	0	3
34	59	0	0.497564462	0	0	0	0	0	0	0	0	0	0	3
35	61	0	0.512198711	0	0	0	0	0	0	0	0	0	0	3
36	62	0	0.52683296	0	0	0	0	0	0	0	0	0	0	3
37	64	0	0.541467209	0	0	0	0	0	0	0	0	0	0	3
38	65	0	0.556101457	0	0	0	0	0	0	0	0	0	0	3
39	67	0	0.570735706	0	0	0	0	0	0	0	0	0	0	3
40	69	0	0.585369955	0	0	0	0	0	0	0	0	0	0	3
41	71	0	0.600004204	0	0	0	0	0	0	0	0	0	0	3
42	72	0	0.614638453	0	0	0	0	0	0	0	0	0	0	3
43	74	0	0.629272702	0	0	0	0	0	0	0	0	0	0	3
44	78	0	0.643906951	0	0	0	0	0	0	0	0	0	0	3
45	81	0	0.6585412	0	0	0	0	0	0	0	0	0	0	3
46	83	0	0.673175448	0	0	0	0	0	0	0	0	0	0	3
47	87	0	0.687809697	0	0	0	0	0	0	0	0	0	0	3
48	90	0	0.702443946	0	0	0	0	0	0	0	0	0	0	3
49	93	0	0.717078195	0	0	0	0	0	0	0	0	0	0	3
50	95	0	0.731712444	0	0	0	0	0	0	0	0	0	0	3
51	98	0	0.746346693	0	0	0	0	0	0	0	0	0	0	3
52	100	0	0.760980942	0	0	0	0	0	0	0	0	0	0	3
53	102	0	0.775615191	0	0	0	0	0	0	0	0	0	0	3
54	104	0	0.79024944	0	0	0	0	0	0	0	0	0	0	3
55	107	0	0.804883688	0	0	0	0	0	0	0	0	0	0	3
56	111	0	0.819517937	0	0	0	0	0	0	0	0	0	0	3
57	113	0	0.834152186	0	0	0	0	0	0	0	0	0	0	3
58	115	0	0.848786435	0	0	0	0	0	0	0	0	0	0	3
59	117	0	0.863420684	0	0	0	0	0	0	0	0	0	0	3
60	119	0	0.878054933	0	0	0	0	0	0	0	0	0	0	3
61	121	0	0.892689182	0	0	0	0	0	0	0	0	0	0	3
62	122	0	0.907323431	0	0	0	0	0	0	0	0	0	0	3
63	124	0	0.921957679	0	0	0	0	0	0	0	0	0	0	3
64	126	0	0.936591928	0	0	0	0	0	0	0	0	0	0	3
65	128	0	0.951226177	0	0	0	0	0	0	0	0	0	0	3
66	130	0	0.965860426	0	0	0	0	0	0	0	0	0	0	3
67	132	0	0.980494675	0	0	0	0	0	0	0	0	0	0	3
68	134	0	0.995128924	0	0	0	0	0	0	0	0	0	0	3
69	136	0	1.00976317	0	0	0	0	0	5e-006	0	0	0	0	3
