Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0146342489	0.0262525482	0.0262525482	0.0262525482	0.0262525482	0	0	0	0	0	0	3
2	5	0	0.0292684978	8.06938225e-005	0.013166621	8.06938225e-005	0.0262525482	0.0130859272	0	0	0	0	0	3
3	7	0	0.0439027466	0.000471452788	0.00893489827	8.06938225e-005	0.0262525482	0.0173176499	0	0	0	0	0	3
4	9	0	0.0585369955	-9.40942933e-006	0.00669882135	-9.40942933e-006	0.0262525482	0.0195537269	0	0	0	0	0	3
5	10	0	0.0731712444	-0.000103371098	0.00533838286	-0.000103371098	0.0262525482	0.0209141654	0	0	0	0	0	3
6	12	0	0.0878054933	-0.000113080791	0.00442980558	-0.000113080791	0.0262525482	0.0218227426	0	0	0	0	0	3
7	14	0	0.102439742	-0.000169766476	0.00377272386	-0.000169766476	0.0262525482	0.0224798244	0	0	0	0	0	3
8	15	0	0.117073991	7.00437699e-005	0.00330988885	-0.000169766476	0.0262525482	0.0229426594	0	0	0	0	0	3
9	17	0	0.13170824	0.000282390021	0.00297350009	-0.000169766476	0.0262525482	0.0232790481	0	0	0	0	0	3
10	19	0	0.146342489	0.000229244537	0.00269907454	-0.000169766476	0.0262525482	0.0235534737	0	0	0	0	0	3
11	20	0	0.160976738	0.000338409588	0.00248446863	-0.000169766476	0.0262525482	0.0237680796	0	0	0	0	0	3
12	22	0	0.175610987	0.00165339151	0.0024152122	-0.000169766476	0.0262525482	0.023837336	0	0	0	0	0	3
13	24	0	0.190245235	0.000744010145	0.0022866582	-0.000169766476	0.0262525482	0.02396589	0	0	0	0	0	3
14	25	0	0.204879484	0.00165858188	0.00224179561	-0.000169766476	0.0262525482	0.0240107526	0	0	0	0	0	3
15	27	0	0.219513733	-0.000486821454	0.0020598878	-0.000486821454	0.0262525482	0.0241926604	0	0	0	0	0	3
16	30	0	0.234147982	-0.00257290522	0.00177033824	-0.00257290522	0.0262525482	0.02448221	0	0	0	0	0	3
17	32	0	0.248782231	0.00133564087	0.00174476781	-0.00257290522	0.0262525482	0.0245077804	0	0	0	0	0	3
18	34	0	0.26341648	-0.000879645149	0.00159896709	-0.00257290522	0.0262525482	0.0246535811	0	0	0	0	0	3
19	35	0	0.278050729	-0.000269241574	0.00150064031	-0.00257290522	0.0262525482	0.0247519079	0	0	0	0	0	3
20	37	0	0.292684978	0.00195665012	0.0015234408	-0.00257290522	0.0262525482	0.0247519079	0	0	0	0	0	3
21	38	0	0.307319226	-0.000895990109	0.00140822981	-0.00257290522	0.0262525482	0.0248443184	0	0	0	0	0	3
22	40	0	0.321953475	-0.00400865654	0.0011620077	-0.00400865654	0.0262525482	0.0250905405	0	0	0	0	0	3
23	42	0	0.336587724	-0.00346324926	0.000960909573	-0.00400865654	0.0262525482	0.0252916386	0	0	0	0	0	3
24	43	0	0.351221973	-0.00516427806	0.000705693422	-0.00516427806	0.0262525482	0.0255468548	0	0	0	0	0	3
25	45	0	0.365856222	-0.00217017987	0.00059065849	-0.00516427806	0.0262525482	0.0256618897	0	0	0	0	0	3
26	46	0	0.380490471	-0.00392382531	0.000417024498	-0.00516427806	0.0262525482	0.0258355237	0	0	0	0	0	3
27	48	0	0.39512472	-0.00888280727	7.25862843e-005	-0.00888280727	0.0262525482	0.0261799619	0	0	0	0	0	3
28	50	0	0.409758969	-0.00710928154	-0.000183908995	-0.00888280727	0.0262525482	0.0264364572	0	0	0	0	0	3
29	51	0	0.424393218	-0.0054490451	-0.000365465413	-0.00888280727	0.0262525482	0.0266180136	0	0	0	0	0	3
30	53	0	0.439027466	-0.0064267411	-0.000567507936	-0.00888280727	0.0262525482	0.0268200561	0	0	0	0	0	3
31	54	0	0.453661715	-0.00576334726	-0.000735115656	-0.00888280727	0.0262525482	0.0269876639	0	0	0	0	0	3
32	56	0	0.468295964	-0.00598482127	-0.000899168957	-0.00888280727	0.0262525482	0.0271517172	0	0	0	0	0	3
33	58	0	0.482930213	-0.0150860303	-0.00132907385	-0.0150860303	0.0262525482	0.0275816221	0	0	0	0	0	3
34	59	0	0.497564462	-0.00983144179	-0.00157914349	-0.0150860303	0.0262525482	0.0278316917	0	0	0	0	0	3
35	61	0	0.512198711	-0.0192429219	-0.00208382288	-0.0192429219	0.0262525482	0.0283363711	0	0	0	0	0	3
36	62	0	0.52683296	-0.00868587834	-0.00308206363	-0.0192429219	0.00195665012	0.0162486847	0	0	0	0	0	3
37	64	0	0.541467209	-0.011894621	-0.00342421548	-0.0192429219	0.00195665012	0.0123591138	0	0	0	0	0	3
38	65	0	0.556101457	-0.00808695345	-0.00366874138	-0.0192429219	0.00195665012	0.0103675627	0	0	0	0	0	3
39	67	0	0.570735706	-0.00875160643	-0.00391851843	-0.0192429219	0.00195665012	0.00925690129	0	0	0	0	0	3
40	69	0	0.585369955	-0.000325056414	-0.0039248523	-0.0192429219	0.00195665012	0.00835465788	0	0	0	0	0	3
41	71	0	0.600004204	-0.00759847362	-0.00413872067	-0.0192429219	0.00195665012	0.00791144453	0	0	0	0	0	3
42	72	0	0.614638453	0.0039094166	-0.00402217258	-0.0192429219	0.0039094166	0.00744860952	0	0	0	0	0	3
43	74	0	0.629272702	-0.00666468263	-0.00421459333	-0.0192429219	0.0039094166	0.00718809342	0	0	0	0	0	3
44	78	0	0.643906951	0.006154256	-0.00404682573	-0.0192429219	0.006154256	0.00691366787	0	0	0	0	0	3
45	81	0	0.6585412	-0.00962372857	-0.00432833925	-0.0192429219	0.006154256	0.00681280788	0	0	0	0	0	3
46	83	0	0.673175448	0.00787150458	-0.00411310797	-0.0192429219	0.00787150458	0.00674355146	0	0	0	0	0	3
47	87	0	0.687809697	0.00520624508	-0.00401159786	-0.0192429219	0.00787150458	0.00661499745	0	0	0	0	0	3
48	90	0	0.702443946	0.0117899808	-0.0036959987	-0.0192429219	0.0117899808	0.00657013486	0	0	0	0	0	3
49	93	0	0.717078195	0.00755760518	-0.00352745518	-0.0192429219	0.0117899808	0.00638822705	0	0	0	0	0	3
50	95	0	0.731712444	0.0104248643	-0.00321569273	-0.0192429219	0.0117899808	0.00609867749	0	0	0	0	0	3
51	98	0	0.746346693	0.00590315541	-0.00297351957	-0.0192429219	0.0117899808	0.00607310706	0	0	0	0	0	3
52	100	0	0.760980942	0.0234724352	-0.00234103973	-0.0192429219	0.0234724352	0.00592730634	0	0	0	0	0	3
53	102	0	0.775615191	0.00532302875	-0.00216382048	-0.0192429219	0.0234724352	0.00585178006	0	0	0	0	0	3
54	104	0	0.79024944	0.0127073073	-0.00179306194	-0.0192429219	0.0234724352	0.00585178006	0	0	0	0	0	3
55	107	0	0.804883688	-0.00656359839	-0.00203649761	-0.0192429219	0.0234724352	0.00573656906	0	0	0	0	0	3
56	111	0	0.819517937	0.00947496247	-0.00174018468	-0.0192429219	0.0234724352	0.00549034695	0	0	0	0	0	3
57	113	0	0.834152186	-0.0151563863	-0.00205869124	-0.0192429219	0.0234724352	0.00528924882	0	0	0	0	0	3
58	115	0	0.848786435	0.0030188229	-0.00187348918	-0.0192429219	0.0234724352	0.00503403267	0	0	0	0	0	3
59	117	0	0.863420684	-0.00855376396	-0.00197033164	-0.0192429219	0.0234724352	0.00491899774	0	0	0	0	0	3
60	119	0	0.878054933	0.00403209786	-0.0017931237	-0.0192429219	0.0234724352	0.00474536375	0	0	0	0	0	3
61	121	0	0.892689182	-0.0137904893	-0.00207502839	-0.0192429219	0.0234724352	0.00440092554	0	0	0	0	0	3
