Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0146342489	5687440.92	5687440.92	5687440.92	5687440.92	0	0	0	4.51314e+008	0	0	3
2	5	0	0.0292684978	2190241.33	3938841.13	2190241.33	5687440.92	1748599.8	0	0	7.32676e+008	0	0	3
3	7	0	0.0439027466	1817374.95	3231685.73	1817374.95	5687440.92	2455755.19	0	0	9.77221e+008	0	0	3
4	9	0	0.0585369955	2006662.37	2925429.89	1817374.95	5687440.92	2762011.03	0	0	1.17368e+009	0	0	3
5	10	0	0.0731712444	1455387	2631421.31	1455387	5687440.92	3056019.61	0	0	1.32775e+009	0	0	3
6	12	0	0.0878054933	1572870.71	2454996.21	1455387	5687440.92	3232444.71	0	0	1.37205e+009	0	0	3
7	14	0	0.102439742	1313841.63	2291974.13	1313841.63	5687440.92	3395466.8	0	0	1.40098e+009	0	0	3
8	15	0	0.117073991	1283878.24	2165962.14	1283878.24	5687440.92	3521478.78	0	0	1.42202e+009	0	0	3
9	17	0	0.13170824	1375392.2	2078121.04	1283878.24	5687440.92	3609319.89	0	0	1.45388e+009	0	0	3
10	19	0	0.146342489	1203877.48	1990696.68	1203877.48	5687440.92	3696744.24	0	0	1.47591e+009	0	0	3
11	20	0	0.160976738	1345650.86	1932056.15	1203877.48	5687440.92	3755384.77	0	0	1.49212e+009	0	0	3
12	22	0	0.175610987	1300384.44	1879416.84	1203877.48	5687440.92	3808024.08	0	0	1.51034e+009	0	0	3
13	24	0	0.190245235	1240181.13	1830244.87	1203877.48	5687440.92	3857196.06	0	0	1.52875e+009	0	0	3
14	25	0	0.204879484	1131828.49	1780357.98	1131828.49	5687440.92	3907082.94	0	0	1.54702e+009	0	0	3
15	27	0	0.219513733	963375.467	1725892.48	963375.467	5687440.92	3961548.44	0	0	1.56568e+009	0	0	3
16	30	0	0.234147982	945717.551	1677131.55	945717.551	5687440.92	4010309.38	0	0	1.57788e+009	0	0	3
17	32	0	0.248782231	846786.773	1628287.74	846786.773	5687440.92	4059153.19	0	0	1.58702e+009	0	0	3
18	34	0	0.26341648	672855.654	1575208.18	672855.654	5687440.92	4112232.75	0	0	1.59468e+009	0	0	3
19	35	0	0.278050729	577243.177	1522683.7	577243.177	5687440.92	4164757.22	0	0	1.6056e+009	0	0	3
20	37	0	0.292684978	489406.043	1471019.82	489406.043	5687440.92	4216421.1	0	0	1.61345e+009	0	0	3
21	38	0	0.307319226	510581.14	1425284.65	489406.043	5687440.92	4262156.28	0	0	1.61956e+009	0	0	3
22	40	0	0.321953475	450118.837	1380958.93	450118.837	5687440.92	4306482	0	0	1.62489e+009	0	0	3
23	42	0	0.336587724	344143.322	1335879.99	344143.322	5687440.92	4351560.94	0	0	1.63175e+009	0	0	3
24	43	0	0.351221973	232983.457	1289925.97	232983.457	5687440.92	4397514.96	0	0	1.63433e+009	0	0	3
25	45	0	0.365856222	166564.656	1244991.51	166564.656	5687440.92	4442449.41	0	0	1.64175e+009	0	0	3
26	46	0	0.380490471	45893.172	1198872.35	45893.172	5687440.92	4488568.58	0	0	1.64616e+009	0	0	3
27	48	0	0.39512472	-81854.3512	1151438.02	-81854.3512	5687440.92	4536002.9	0	0	1.65218e+009	0	0	3
28	50	0	0.409758969	-214958.054	1102638.16	-214958.054	5687440.92	4584802.76	0	0	1.65563e+009	0	0	3
29	51	0	0.424393218	-343820.615	1052760.27	-343820.615	5687440.92	4634680.65	0	0	1.6614e+009	0	0	3
30	53	0	0.439027466	-467997.01	1002068.37	-467997.01	5687440.92	4685372.56	0	0	1.66454e+009	0	0	3
31	54	0	0.453661715	-594691.53	950559.982	-594691.53	5687440.92	4736880.94	0	0	1.66924e+009	0	0	3
32	56	0	0.468295964	-783667.71	896365.366	-783667.71	5687440.92	4791075.56	0	0	1.67151e+009	0	0	3
33	58	0	0.482930213	-938060.909	840776.691	-938060.909	5687440.92	4846664.23	0	0	1.67636e+009	0	0	3
34	59	0	0.497564462	-1134326.02	782685.435	-1134326.02	5687440.92	4904755.49	0	0	1.67911e+009	0	0	3
35	61	0	0.512198711	-1256686.23	724417.673	-1256686.23	5687440.92	4963023.25	0	0	1.68376e+009	0	0	3
36	62	0	0.52683296	-1365730.18	522898.499	-1365730.18	2190241.33	3415942.63	0	0	1.68516e+009	0	0	3
37	64	0	0.541467209	-1408246.82	420084.552	-1408246.82	2006662.37	2811601.18	0	0	1.68879e+009	0	0	3
38	65	0	0.556101457	-1453546.99	326629.639	-1453546.99	2006662.37	2598800.25	0	0	1.6896e+009	0	0	3
39	67	0	0.570735706	-1453208.06	227776.198	-1453546.99	1572870.71	2403645.12	0	0	1.69285e+009	0	0	3
40	69	0	0.585369955	-1476789.56	143999.725	-1476789.56	1572870.71	2310996.49	0	0	1.69158e+009	0	0	3
41	71	0	0.600004204	-1438087.13	57972.3584	-1476789.56	1375392.2	2234001.77	0	0	1.69333e+009	0	0	3
42	72	0	0.614638453	-1446953.52	-20907.503	-1476789.56	1375392.2	2186869.65	0	0	1.69116e+009	0	0	3
43	74	0	0.629272702	-1380155.8	-97022.7614	-1476789.56	1375392.2	2175143.8	0	0	1.69336e+009	0	0	3
44	78	0	0.643906951	-1373055.1	-175549.827	-1476789.56	1345650.86	2166246.51	0	0	1.6911e+009	0	0	3
45	81	0	0.6585412	-1317146.26	-247579.077	-1476789.56	1345650.86	2179635.23	0	0	1.69318e+009	0	0	3
