Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0146342489	293.206568	293.206568	293.206568	293.206568	0	0	0	65.9487	0	0	3
2	5	0	0.0292684978	293.212013	293.20929	293.206568	293.212013	0.00272258252	0	0	37.4699	0	0	3
3	7	0	0.0439027466	293.218189	293.212257	293.206568	293.218189	0.00568881495	0	0	35.6255	0	0	3
4	9	0	0.0585369955	293.225914	293.215671	293.206568	293.225914	0.00910308766	0	0	58.5515	0	0	3
5	10	0	0.0731712444	293.236132	293.219763	293.206568	293.236132	0.0131953046	0	0	76.3794	0	0	3
6	12	0	0.0878054933	293.262988	293.226967	293.206568	293.262988	0.0203995457	0	0	97.9844	0	0	3
7	14	0	0.102439742	293.329636	293.241634	293.206568	293.329636	0.0350664575	0	0	107.951	0	0	3
8	15	0	0.117073991	293.422821	293.264283	293.206568	293.422821	0.0577147904	0	0	114.737	0	0	3
9	17	0	0.13170824	293.523155	293.293046	293.206568	293.523155	0.0864784046	0	0	145.067	0	0	3
10	19	0	0.146342489	293.626776	293.326419	293.206568	293.626776	0.11985144	0	0	154.164	0	0	3
11	20	0	0.160976738	293.805145	293.36994	293.206568	293.805145	0.163371993	0	0	233.347	0	0	3
12	22	0	0.175610987	294.047601	293.426411	293.206568	294.047601	0.21984373	0	0	136.545	0	0	3
13	24	0	0.190245235	294.287997	293.492687	293.206568	294.287997	0.286119506	0	0	186.727	0	0	3
14	25	0	0.204879484	294.556499	293.568674	293.206568	294.556499	0.362106057	0	0	238.711	0	0	3
15	27	0	0.219513733	294.866546	293.655199	293.206568	294.866546	0.448630862	0	0	291.186	0	0	3
16	30	0	0.234147982	295.302791	293.758173	293.206568	295.302791	0.551605361	0	0	337.167	0	0	3
17	32	0	0.248782231	295.78653	293.877488	293.206568	295.78653	0.670920471	0	0	382.968	0	0	3
18	34	0	0.26341648	296.309	294.012572	293.206568	296.309	0.806004438	0	0	410.867	0	0	3
19	35	0	0.278050729	296.820271	294.160346	293.206568	296.820271	0.953778046	0	0	442.314	0	0	3
20	37	0	0.292684978	297.339089	294.319283	293.206568	297.339089	1.11271521	0	0	453.496	0	0	3
21	38	0	0.307319226	298.129864	294.500739	293.206568	298.129864	1.29417146	0	0	474.377	0	0	3
22	40	0	0.321953475	298.96719	294.70376	293.206568	298.96719	1.49719197	0	0	478.044	0	0	3
