Iteration	CPUTime	PhysTime	Travels	CourFact
1	4	0	0.0146342489	0
2	5	0	0.0292684978	0
3	7	0	0.0439027466	0
4	9	0	0.0585369955	0
5	10	0	0.0731712444	0
6	12	0	0.0878054933	0
7	14	0	0.102439742	0
8	15	0	0.117073991	0
9	17	0	0.13170824	0
10	19	0	0.146342489	0
11	20	0	0.160976738	0
12	22	0	0.175610987	0
13	24	0	0.190245235	0
14	25	0	0.204879484	0
15	27	0	0.219513733	0
16	30	0	0.234147982	0
17	32	0	0.248782231	0
18	34	0	0.26341648	0
19	35	0	0.278050729	0
20	37	0	0.292684978	0
21	38	0	0.307319226	0
22	40	0	0.321953475	0
23	42	0	0.336587724	0
24	43	0	0.351221973	0
25	45	0	0.365856222	0
26	46	0	0.380490471	0
27	48	0	0.39512472	0
28	50	0	0.409758969	0
29	51	0	0.424393218	0
30	53	0	0.439027466	0
31	54	0	0.453661715	0
32	56	0	0.468295964	0
33	58	0	0.482930213	0
34	59	0	0.497564462	0
35	61	0	0.512198711	0
36	62	0	0.52683296	0
37	64	0	0.541467209	0
38	65	0	0.556101457	0
39	67	0	0.570735706	0
40	69	0	0.585369955	0
41	71	0	0.600004204	0
42	72	0	0.614638453	0
43	74	0	0.629272702	0
44	78	0	0.643906951	0
45	81	0	0.6585412	0
46	83	0	0.673175448	0
47	87	0	0.687809697	0
48	90	0	0.702443946	0
49	93	0	0.717078195	0
50	95	0	0.731712444	0
51	98	0	0.746346693	0
52	100	0	0.760980942	0
53	102	0	0.775615191	0
54	104	0	0.79024944	0
55	107	0	0.804883688	0
56	111	0	0.819517937	0
57	113	0	0.834152186	0
58	115	0	0.848786435	0
59	117	0	0.863420684	0
60	119	0	0.878054933	0
61	121	0	0.892689182	0
62	122	0	0.907323431	0
63	124	0	0.921957679	0
64	126	0	0.936591928	0
65	128	0	0.951226177	0
66	130	0	0.965860426	0
67	132	0	0.980494675	0
68	134	0	0.995128924	0
69	136	0	1.00976317	0
